"question","answer","round_score","player"
"is it possible to","is it possible to be allergic to the sun",2,"player_1"
"is it possible to","is it possible to hack clash of clans",9,"player_2"
"is it possible to","is it possible to skip a period",1,"player_3"
"women are","women are shallow",8,"player_1"
"women are","women are better than men",4,"player_2"
"women are","women are too hard to animate",1,"player_3"
"men are","men are from mars women are from venus summary",5,"player_1"
"men are","men are better than women",8,"player_2"
"men are","men are like waffles",1,"player_3"
"recipe for","recipe for hummus",4,"player_1"
"recipe for","recipe for deviled eggs",6,"player_2"
"recipe for","recipe for meatloaf",9,"player_3"
"why is italy","why is italy blue",8,"player_1"
"why is italy","why is italy famous",4,"player_2"
"why is italy","why is italy so corrupt",2,"player_3"
"did gwen stefani","did gwen stefani have a facelift",2,"player_1"
"did gwen stefani","did gwen stefani breast feed",5,"player_2"
"did gwen stefani","did gwen stefani date a band member",6,"player_3"
"sometimes i like to","sometimes i like to be alone quotes",1,"player_1"
"sometimes i like to","sometimes i like to cover myself in vaseline",2,"player_2"
"sometimes i like to","sometimes i like to jokes",7,"player_3"
